나이키,nike,http://www.nike.com/kr,
메종 마르지엘라,maisonmargiela,http://www.maisonmargiela.com/kr,https://www.maisonmargiela.com/kr/maison-margiela/%EC%B9%B4%EB%94%94%EA%B1%B4_cod14124536ct.html
스와로브스키,swarovski,http://www.swarovski.com,https://www.swarovski.com/ko-KR/p-5556917/Tennis-Deluxe-%EB%84%A4%ED%81%AC%EB%A6%AC%EC%8A%A4-%EB%AF%B9%EC%8A%A4-%EC%BB%B7-%ED%81%AC%EB%A6%AC%EC%8A%A4%ED%84%B8-%ED%99%94%EC%9D%B4%ED%8A%B8-%EB%A1%9C%EB%93%90-%ED%94%8C%EB%9E%98%ED%8C%85/
어프어프,earp earp,http://m.earpearp.com/,http://m.earpearp.com/product/%EC%96%B4%ED%94%84%EC%96%B4%ED%94%84x%ED%8E%AD%EC%88%98dinner-tea-time-brown%ED%95%98%EB%93%9C/13198/category/1/display/2/
이케아,Ikea,https://www.ikea.com/kr/ko/,https://www.ikea.com/kr/ko/p/friheten-corner-sofa-bed-with-storage-skiftebo-blue-s09297558/
러쉬,Lush,https://m.lush.co.kr,https://m.lush.co.kr/goods/goods_view.php?goodsNo=42
룰루레몬,Lululemon,https://www.lululemon.co.kr/ko-kr/home/,https://www.lululemon.co.kr/ko-kr/p/slush-hour-hooded-jacket/prod10641886.html?dwvar_prod10641886_color=43731
루이스폴센,Louis Poulsen,https://www.louispoulsen.com/ko-kr/private,https://www.louispoulsen.com/ko-kr/catalog/private/pendants/above?v=91691-5741099362-01&t=spareparts
골든듀,Golden dew,https://goldendew.com/brand_mw/main.php,https://www.goldendewshop.com/product/%ED%88%AC%EC%98%A4%EB%B8%8C%ED%95%98%ED%8A%B83%EB%A3%A8%EB%B9%84-%EB%B0%98%EC%A7%80/3909/category/27/display/1/
영실업,Youngtoys,https://m.youngtoysmall.com,https://m.youngtoysmall.com/product/playfoam-%EC%8A%A4%ED%80%B4%EC%8B%9C-%EC%83%8C%EB%93%9C%EC%BA%90%EC%8A%AC/87/category/1/display/2/
뱅앤올룹순,Bang&Olufsen,https://www.bnostore.co.kr, https://www.bnostore.co.kr/Speaker/?idx=303&utm_source=Mobion&utm_medium=DA&utm_campaign=Insight&utm_content=Insight
레고,Lego,https://www.lego.com,https://www.lego.com/ko-kr/product/super-mario-64-question-mark-block-71395
쿡킷,Cj Cookit,https://m.cjcookit.com/mo/main,https://www.cjcookit.com/pc/prod/prodDetail?prdCd=40003724&wid1=best_prd_bn1&plnId=300009
오설록,Osulloc,https://www.osulloc.com/kr/ko,https://www.osulloc.com/kr/ko/shop/item/teashop/15203
웨버,Weber,https://www.bbqtown.co.kr/m2,https://www.bbqtown.co.kr/m2/goods/view.php?goodsno=553
헬렌카민스키,Helen Kaminski,https://m.helenkaminski.co.kr,https://m.helenkaminski.co.kr/product/ines-knit-jacket%EC%9D%B4%EB%84%A4%EC%8A%A4-%EB%8B%88%ED%8A%B8-%EC%9E%90%EC%BC%93/1020/category/24/display/1/
젠틀몬스터,Gentle Monster,https://www.gentlemonster.com,https://www.gentlemonster.com/shop/ver1_detail.php?it_id=1572394578
오티에이치콤마,Oth,https://othcomma.kr,https://othcomma.kr/product/Switzerland
오롤리데이,oh lolly day!,https://www.oh-lolly-day.com/,https://www.oh-lolly-day.com/product/apparel-old-sweatshirtdoodle-happierburgundy/494/category/1/display/3/
메종 키츠네,Maison-Kitsune,https://maisonkitsune.com,https://maisonkitsune.com/en/classic-teddy-black-6095491191b5d.html